songName,artistName,songID,artistID,year,genres,audio
From The D 2 The LBC (with Snoop Dogg),Eminem,6CPAznSrkDmiPBgLXoi00f,7dGJo4pcD2V6oG8kP0tJRR,20,"['detroit hip hop', 'hip hop', 'rap']","[{'danceability': 0.718, 'energy': 0.768, 'key': 7, 'loudness': -7.87, 'speechiness': 0.25, 'acousticness': 0.0988, 'instrumentalness': 0, 'liveness': 0.0957, 'valence': 0.591, 'tempo': 164.038}]"
Gnat,Eminem,5Dl3rpoBEgHKctcUt5SZGC,7dGJo4pcD2V6oG8kP0tJRR,20,"['detroit hip hop', 'hip hop', 'rap']","[{'danceability': 0.83, 'energy': 0.874, 'key': 10, 'loudness': -4.743, 'speechiness': 0.294, 'acousticness': 0.237, 'instrumentalness': 0, 'liveness': 0.384, 'valence': 0.813, 'tempo': 140.974}]"
Save Your Tears,The Weeknd,5QO79kh1waicV47BqGRL3g,1Xyo4u8uXC1ZmMpatF05PJ,20,"['canadian contemporary r&b', 'canadian pop', 'pop']","[{'danceability': 0.68, 'energy': 0.826, 'key': 0, 'loudness': -5.487, 'speechiness': 0.0309, 'acousticness': 0.0212, 'instrumentalness': 1.24e-05, 'liveness': 0.543, 'valence': 0.644, 'tempo': 118.051}]"
Foxey Lady,Jimi Hendrix,23MrkN7g6Q5U7GLIxNHN1B,776Uo845nYHJpNaStv1Ds4,60,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']","[{'danceability': 0.507, 'energy': 0.847, 'key': 1, 'loudness': -5.987, 'speechiness': 0.0411, 'acousticness': 0.0751, 'instrumentalness': 0.237, 'liveness': 0.372, 'valence': 0.566, 'tempo': 98.096}]"
Voodoo Child (Slight Return),Jimi Hendrix,2AxCeJ6PSsBYiTckM0HLY7,776Uo845nYHJpNaStv1Ds4,60,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']","[{'danceability': 0.214, 'energy': 0.91, 'key': 8, 'loudness': -6.662, 'speechiness': 0.389, 'acousticness': 0.477, 'instrumentalness': 0.00833, 'liveness': 0.0517, 'valence': 0.448, 'tempo': 175.549}]"
Hey Joe,Jimi Hendrix,0NWPxcsf5vdjdiFUI8NgkP,776Uo845nYHJpNaStv1Ds4,60,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']","[{'danceability': 0.346, 'energy': 0.768, 'key': 9, 'loudness': -5.695, 'speechiness': 0.0377, 'acousticness': 0.00603, 'instrumentalness': 0.38, 'liveness': 0.0244, 'valence': 0.532, 'tempo': 169.492}]"
Little Wing,Jimi Hendrix,1Eolhana7nKHYpcYpdVcT5,776Uo845nYHJpNaStv1Ds4,60,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']","[{'danceability': 0.515, 'energy': 0.534, 'key': 6, 'loudness': -8.045, 'speechiness': 0.0768, 'acousticness': 0.181, 'instrumentalness': 0.00278, 'liveness': 0.0547, 'valence': 0.426, 'tempo': 70.776}]"
Purple Haze,Jimi Hendrix,0wJoRiX5K5BxlqZTolB2LD,776Uo845nYHJpNaStv1Ds4,60,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']","[{'danceability': 0.533, 'energy': 0.905, 'key': 2, 'loudness': -5.27, 'speechiness': 0.0754, 'acousticness': 0.00876, 'instrumentalness': 0.578, 'liveness': 0.0698, 'valence': 0.486, 'tempo': 108.9}]"
All Along the Watchtower,Jimi Hendrix,2aoo2jlRnM3A0NyLQqMN2f,776Uo845nYHJpNaStv1Ds4,60,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']","[{'danceability': 0.438, 'energy': 0.805, 'key': 8, 'loudness': -6.237, 'speechiness': 0.0624, 'acousticness': 0.00255, 'instrumentalness': 5.69e-05, 'liveness': 0.0842, 'valence': 0.564, 'tempo': 113.253}]"
As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3,20,['pop'],"[{'danceability': 0.52, 'energy': 0.731, 'key': 6, 'loudness': -5.338, 'speechiness': 0.0557, 'acousticness': 0.342, 'instrumentalness': 0.00101, 'liveness': 0.311, 'valence': 0.662, 'tempo': 173.93}]"
VIBEZ,DaBaby,0fySG6A6qLE8IvDpayb5bM,4r63FhuTkUYltbVAg5TQnk,10,"['north carolina hip hop', 'rap', 'trap']","[{'danceability': 0.768, 'energy': 0.652, 'key': 1, 'loudness': -2.708, 'speechiness': 0.307, 'acousticness': 0.113, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.777, 'tempo': 154.187}]"
Faucet Failure,Ski Mask The Slump God,1ThmUihH9dF8EV08ku5AXN,2rhFzFmezpnW82MNqEKVry,10,"['miami hip hop', 'rap']","[{'danceability': 0.935, 'energy': 0.552, 'key': 10, 'loudness': -9.373, 'speechiness': 0.335, 'acousticness': 0.111, 'instrumentalness': 0, 'liveness': 0.0952, 'valence': 0.615, 'tempo': 99.993}]"
BEST INTEREST,"Tyler, The Creator",3jHdKaLCkuNEkWcLVmQPCX,4V8LLVI7PbaPR0K2TGSxFF,20,"['hip hop', 'rap']","[{'danceability': 0.596, 'energy': 0.575, 'key': 11, 'loudness': -8.325, 'speechiness': 0.0514, 'acousticness': 0.0861, 'instrumentalness': 0.000153, 'liveness': 0.334, 'valence': 0.34, 'tempo': 98.265}]"
GROUP B,"Tyler, The Creator",3NnINnjKVVs03xat0qLQFx,4V8LLVI7PbaPR0K2TGSxFF,20,"['hip hop', 'rap']","[{'danceability': 0.544, 'energy': 0.718, 'key': 5, 'loudness': -8.286, 'speechiness': 0.24, 'acousticness': 0.0996, 'instrumentalness': 0, 'liveness': 0.2, 'valence': 0.361, 'tempo': 80.095}]"
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",7z4xW9WY86uH3gd1V9pfCM,4V8LLVI7PbaPR0K2TGSxFF,20,"['hip hop', 'rap']","[{'danceability': 0.827, 'energy': 0.571, 'key': 11, 'loudness': -7.949, 'speechiness': 0.366, 'acousticness': 0.0195, 'instrumentalness': 0, 'liveness': 0.166, 'valence': 0.62, 'tempo': 142.034}]"
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",5fbHRCsGpFIOLRtlhCRFDR,4V8LLVI7PbaPR0K2TGSxFF,20,"['hip hop', 'rap']","[{'danceability': 0.62, 'energy': 0.586, 'key': 1, 'loudness': -6.612, 'speechiness': 0.212, 'acousticness': 0.155, 'instrumentalness': 0, 'liveness': 0.535, 'valence': 0.487, 'tempo': 137.131}]"
SAFARI,"Tyler, The Creator",09xpQPfKWdio1wx6v17dGa,4V8LLVI7PbaPR0K2TGSxFF,20,"['hip hop', 'rap']","[{'danceability': 0.471, 'energy': 0.71, 'key': 1, 'loudness': -6.462, 'speechiness': 0.213, 'acousticness': 0.0618, 'instrumentalness': 1.7e-06, 'liveness': 0.338, 'valence': 0.599, 'tempo': 80.453}]"
Safari,J Balvin,456xBIOmLRoLzCvCzZrWge,1vyhD5VmyZ7KMfW5gqLgo5,10,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']","[{'danceability': 0.689, 'energy': 0.675, 'key': 0, 'loudness': -4.281, 'speechiness': 0.32, 'acousticness': 0.531, 'instrumentalness': 3.17e-06, 'liveness': 0.115, 'valence': 0.604, 'tempo': 180.065}]"
SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,0Y5tJX1MQlPlqiwlOH1tJY,10,"['hip hop', 'rap', 'slap house']","[{'danceability': 0.834, 'energy': 0.73, 'key': 8, 'loudness': -3.714, 'speechiness': 0.222, 'acousticness': 0.00513, 'instrumentalness': 0, 'liveness': 0.124, 'valence': 0.446, 'tempo': 155.008}]"
Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7,3TVXtAsR1Inumwj472S9r4,10,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","[{'danceability': 0.891, 'energy': 0.628, 'key': 2, 'loudness': -7.863, 'speechiness': 0.0551, 'acousticness': 0.00258, 'instrumentalness': 0.00019, 'liveness': 0.0504, 'valence': 0.552, 'tempo': 134.966}]"
God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn,3TVXtAsR1Inumwj472S9r4,10,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","[{'danceability': 0.754, 'energy': 0.449, 'key': 7, 'loudness': -9.211, 'speechiness': 0.109, 'acousticness': 0.0332, 'instrumentalness': 8.29e-05, 'liveness': 0.552, 'valence': 0.357, 'tempo': 77.169}]"
Sweetest Pie,Megan Thee Stallion,3JXF3LsUjyDIHjuwhXxdjo,181bsRPaVXVlUKXrxwZfHK,20,"['dance pop', 'houston rap', 'pop', 'trap queen']","[{'danceability': 0.814, 'energy': 0.626, 'key': 7, 'loudness': -7.187, 'speechiness': 0.214, 'acousticness': 0.173, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.686, 'tempo': 123.972}]"
Step On Up,Ariana Grande,3K1y89UHuAEZbpiSPbtAae,66CXWjxzNUsdJxJ2JdwvnR,10,"['dance pop', 'pop']","[{'danceability': 0.662, 'energy': 0.877, 'key': 5, 'loudness': -4.185, 'speechiness': 0.112, 'acousticness': 0.0874, 'instrumentalness': 0, 'liveness': 0.273, 'valence': 0.545, 'tempo': 110.905}]"
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,6KImCVD70vtIoJWnq6nGn3,10,['pop'],"[{'danceability': 0.548, 'energy': 0.816, 'key': 0, 'loudness': -4.209, 'speechiness': 0.0465, 'acousticness': 0.122, 'instrumentalness': 0, 'liveness': 0.335, 'valence': 0.557, 'tempo': 95.39}]"
Intentions (feat. Quavo),Justin Bieber,4umIPjkehX1r7uhmGvXiSV,1uNFoZAHBGtllmzznpCI3s,20,"['canadian pop', 'pop']","[{'danceability': 0.806, 'energy': 0.546, 'key': 9, 'loudness': -6.637, 'speechiness': 0.0575, 'acousticness': 0.3, 'instrumentalness': 0, 'liveness': 0.102, 'valence': 0.874, 'tempo': 147.986}]"
STAY (with Justin Bieber),The Kid LAROI,5PjdY0CKGZdEuoNab3yDmX,2tIP7SsRs7vjIcLrU85W8J,20,['australian hip hop'],"[{'danceability': 0.591, 'energy': 0.764, 'key': 1, 'loudness': -5.484, 'speechiness': 0.0483, 'acousticness': 0.0383, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.478, 'tempo': 169.928}]"
BILLIE EILISH.,Armani White,27ZZdyTSQWI7Cug2d2PkqV,2qAwMsiIjTzlmfAkXKvhVA,20,['indie hip hop'],"[{'danceability': 0.9, 'energy': 0.509, 'key': 1, 'loudness': -6.647, 'speechiness': 0.257, 'acousticness': 0.115, 'instrumentalness': 1.67e-06, 'liveness': 0.0937, 'valence': 0.765, 'tempo': 100.007}]"
Conejita,Atomic Otro Way,0xLwnCEEIPLkaIfDrp2Vmw,05i5DIXDf4Ai4NEPEi3uBZ,10,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino', 'urbano espanol']","[{'danceability': 0.894, 'energy': 0.846, 'key': 4, 'loudness': -4.827, 'speechiness': 0.162, 'acousticness': 0.236, 'instrumentalness': 0.00354, 'liveness': 0.0886, 'valence': 0.761, 'tempo': 114.988}]"
The Man Who Sold the World - 2015 Remaster,David Bowie,4mWahKerLaVddUjb8d1Q4Q,0oSGxfWSnnOXhD2fKuz2Gy,70,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']","[{'danceability': 0.474, 'energy': 0.387, 'key': 2, 'loudness': -14.416, 'speechiness': 0.0305, 'acousticness': 0.642, 'instrumentalness': 0.00557, 'liveness': 0.143, 'valence': 0.545, 'tempo': 118.486}]"
Straight Outta Compton,N.W.A.,6KIKRz9eSTXdNsGUnomdtW,4EnEZVjo3w1cwcQYePccay,80,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']","[{'danceability': 0.834, 'energy': 0.878, 'key': 8, 'loudness': -9.484, 'speechiness': 0.15, 'acousticness': 0.0461, 'instrumentalness': 0, 'liveness': 0.334, 'valence': 0.418, 'tempo': 102.848}]"
