id,name,songs
6C4yW0laVEgB7zLIYTmi4D,german soundtrack,15
1U5ppQl8yokd9FcfRkHJed,soundtrack,56
2BjrPetGeyAJQmKSKTqCeg,video game music,25
2aqsevyoHcDqBprmsJhjaN,orchestral soundtrack,47
7fiNQbFxDFeRYUONDMV1zC,scorecore,13
3tSrCDfYd1QObfIGtPQhM9,progressive rock,7
418XnO0cHLR1ZXyKIaddHJ,contemporary r&b,2
2RBIISV5Cp2gFT0O9QufJP,alternative metal,5
7wD13GCARDBaIWzBHshJ4K,underground hip hop,4
0DpXHxS8ASOi40rbwUdtKH,political hip hop,4
2Llvbp8D1b3rKYVJvANWdL,mellow gold,106
1jnEWaOasIloIAoC0asKNS,lounge,26
1kbgm3GvaJmvSeMK7rfHvc,sleaze rock,9
1BLAtWd4UcTp0A5skNuKkh,conscious hip hop,35
26FZxoD7BGj1KR8ozbyfIb,late romantic era,12
5aQbuqeLkbKlcji17bH6dz,rock-and-roll,25
6Mwf1j7Xu6iifxC74mW8Y8,cuarteto,1
7rkO4uBpWKcjuVpXbRbxKg,singer-songwriter,56
4VjTtDISbtFLGWUY1cf6kI,norwegian classical,2
7k7EB2BTOScLjEW4fIINRm,minneapolis sound,2
2DeB5ustOBFC4nhYU7Ga9J,nwobhm,3
2DsiSaEdzXQnSN8IsbWlCI,german rock,2
5FXlF4HnVM9XgGkkjuiAe4,dance rock,7
09bfJFHUgIDnd5ULCJygeM,southern rock,6
6bKoKp5EIh9emqaRDyYxrN,candy pop,2
2PLWqyYTB91sxabFhef9Tq,movie tunes,4
27dWMslBCUCcc3A4h55cVU,english baroque,1
1q6fuajmaLZ7Lf7kpJLKwj,east coast hip hop,29
6Z199kuGSVXBJnOtd7TYWy,anime latino,1
1i3iauknyzr2b49Zi5MjNJ,british modern classical,3
2MVf0YWtauptJ491Ki2Vzk,australian pop,8
4pOTobjF4QlfUk5Ru7Ogmg,contemporary jazz,2
4BP4uLFVmOLRUAXds8uakY,cumbia villera,1
4vJ3z6QiO6RHR8iFIv8XQN,deep jazz fusion,1
0Xie9aONxBer6wNNnVn6FC,australian dance,7
2R8Mu6Yj3gwAWJl01jpHiC,new jack swing,1
2qlrGNa8qJ6ldNYYkunZRP,big room,1
027eF9zF1wiPF6qqlIxfwR,permanent wave,38
41nXb8RhzcpLbMYdNCXpO5,italian baroque,1
3qeEWFP5G0KXAPecTG8xKU,quiet storm,31
76Z7mZS72ySi1ELtZ3P1e3,bouzouki,1
3hoftyFHCNXIhxkAsYAkLV,dance pop,34
15QSMm20nzlQLaDSjalRFx,broadway,7
