id,name,songs
5XwGco20oNfGeGa8c8RFvr,brostep,1.0
25nUrq7BJpSEFgar4jg5w5,instrumental surf,1.0
08RoSXZi5ZQrr1znpCign4,g funk,28.0
4uUtMhwsu4VmjLTRhSCPqa,german hard rock,1.0
6RxQmzQW8VIeWk4Cw4v4oY,popping,1.0
1PA3wPQyOokmIjkubRJaFt,entehno,1.0
1XyO4Ky4FyWHTzterV8ash,zolo,7.0
3pGEttjlQ0otxDcRP2Axgd,speedrun,16.0
5esHU9S3CavGj2v0UKq7lQ,early music,5.0
5hcBbNmCTQk9p22kar0ZEq,classic soundtrack,3.0
6Sl37jltwyGaLiyLZkCuLF,pub rock,3.0
4Equ2xhRcHyQEYkPnZzAxZ,funk rock,5.0
37V6ri5S6ZIqnvJs0cZWpN,surf music,3.0
5fxkWV9miMXqGqNMh1rdsx,colombian pop,2.0
6SdRJpc68sFiKURxlrhOmb,bebop,18.0
67fVjywcMtaB3XgSrIz1AX,new wave pop,25.0
3pMVwmDCKC0QRNhNQrQAnP,nu jazz,2.0
63cKEmKgSKdm7IE2BADGmQ,electropop,3.0
1x9YALEJhPH7v7u7rqvaD3,new wave of glam metal,2.0
1v1RACVrIffOwkN5tqQGVq,swamp rock,3.0
2czwGAhmvKZjv6AyNxz43P,alternative hip hop,22.0
0skZb3RQwLsJIKfzElexVK,british soundtrack,4.0
0APBgiABZQh0101q4PL5BJ,neoclassicism,2.0
4PKpUNhppyaBMERAjmpAMj,hard bop,10.0
4gQIVJqgV8QPLAzgCN9Ste,eurodance,2.0
3u7vwkOYE9wHXahDGCa4vH,free jazz,5.0
3c7tAb0lg6hg3gINVt1WSY,power pop,5.0
17JrLEp1oelZa4Hb9NWK0t,cool jazz,15.0
3LXDnSawtLAtZSeiaKDwQr,latin,6.0
4Y2AVUU8ruI6vqHmkQctPL,library music,1.0
02KuvDmyH6zSRODvh1f09d,contemporary post-bop,8.0
1rYa18bulpwTFNB4y43FUi,classic japanese jazz,2.0
2Gjif5yjUL6DtCwPrQIWy5,classic greek pop,1.0
7FpjPazgbx3zPiBi3vUPti,uk reggae,1.0
0T9Zas1HLIG3y547evI47l,british invasion,56.0
6lmwH2a2fs37RUfyDjSnTm,melodic rap,5.0
1zT08jmVFIS7jJvMqD2sPQ,slowed and reverb,1.0
5kWOEPmrapSjhAFoOmHCd1,british blues,4.0
2LwvkGVyH88w9D5ZVjBWKM,synth funk,7.0
6RcY2sOWDhxkeCnn05MKZ4,swing,25.0
3jyCC2PJLUK3QM31FsNkPj,uk contemporary jazz,9.0
5nW7R07Zz8NEKFzYZVKzHr,speed metal,1.0
3zYoIRI5ZZE5FWbE2X1HWD,hip house,3.0
7deOas4tdGV4MECzkO0rWP,classical,54.0
4RZVC7LKRV0cXzRLMHpDss,funk,39.0
7pWidoo0B9pC1QLppfz14Z,filter house,2.0
0RsO95397RxHdaxnrJyOlj,rock drums,2.0
2UvWJACEYbV3wwNDAYdMMQ,adult standards,64.0
7ouzrE0PB2DOk7eOnTlASW,australian hip hop,3.0
43TUrn5eOZTP3XTldKrGMf,jazz piano,13.0
5R8mNDfkJyevItmYVBpAg0,soul blues,1.0
2JXGBAL1l7wswcBMIQ7p1T,pop,109.0
25jVbCefJS6cM4gsuBsHeg,ecm-style jazz,1.0
73BECfriUs0W2paj6FFrPu,gypsy jazz,2.0
471zTa4imoCaX51L8Y8Qra,southern soul,5.0
6x8cU7y7dnaUpRFFAksE2X,afrofuturism,4.0
6PEfmPPtdn2bhDpn6bem18,post-punk argentina,17.0
3CjWR5LNHo82QqalkvyWXB,country rock,17.0
5j5ED783xvbabERoKNWkCE,classic uk pop,13.0
6lvHrvtGAkYAAowifgo38g,uk pop,17.0
2k2kmOIpduESvI1tGlbe1k,theme,2.0
6rii7aGXhPGM9091K6Bx83,post-disco,9.0
39jHkIuIOnAiGj6l6LdLhd,early modern classical,6.0
6IzQwzByQ7olYo5V7aUkdK,jazztronica,1.0
34nRSNjiuMHN3aHUjNYyTb,post-punk,8.0
2pWREOhi4kgElbBsprux59,hardcore hip hop,47.0
4UDvITpVzl16dq4Ei2t7w0,synthpop,10.0
4CzUDSAmGrMlocwHPUVqze,jazz cover,3.0
4GUf2jJ6XyQ9UWb3BV6maI,cartoon,3.0
2lsMWcs5TVcCGLFyx12gx3,hollywood,17.0
0gCYJldqbnUzL7SrRVWico,soul,55.0
4QDkdjEkjjMQHIUr3OPI34,doo-wop,5.0
1sIOnBZFAzZH8wR1DQfhJH,indie game soundtrack,4.0
7nzQT4rrBBRbO0I97eDVsK,german baroque,4.0
0F3EJGVmUqwsbbkqi8sgrY,rockabilly,19.0
24b1ZiUIFSoQ8bAvhV2CkL,pop rap,37.0
14kfSmwH6B5rKYkFGVWNig,electro,2.0
7HgcvPTGvWL1IwuDrmYjN8,brill building pop,53.0
2LR7UfeLMDh733OpJQWw0C,caucasian classical,1.0
5fJe9FB1MieJHmOyd5Dg2j,folk rock,82.0
52SLeGNREcFVta1JIfEp2M,avant-garde jazz,2.0
4jANpDDQkliNUyqZ3wLOKI,electric bass,2.0
1Ng6LiSMj11H8T9zqm1B5B,greek guitar,1.0
1IhMIhEpuYesMUWUjLkoEk,glam metal,20.0
4PJt9TASOytqPNLHmnLjzj,britpop,1.0
0eD0TqtwTlE9RJRSHTWMu2,pittsburgh rap,1.0
3sbiEVOIPj6iMFQKcAcQ9h,jazz boom bap,2.0
076u8SHjqJKyyiH4Jftf9H,jazz saxophone,5.0
5cvHDFz95Oalveh1SYdOAJ,argentine rock,75.0
6fIUkVZY7wIRkiQaZ3s6f1,symphonic rock,10.0
2fjfHazsgRIVz3p0XZfDfP,shib,1.0
2DP0J00ZokM3AwOfYCKf9x,album rock,116.0
1W1JL53mVcXAIzSIS7UVAV,classic rock,209.0
3A5M3gH0K8eEDkVke40r0l,blues rock,36.0
3QLpS8ijQ6OPxrWBRm4S9O,baroque pop,11.0
1V9P5r31pDNwDZSiuyi06r,hip pop,6.0
6zRa1Ol8tU9TPSTEQmSdGl,hip hop,224.0
311XIYxk9faKR7ExYqxTSg,steampunk,1.0
2EQaxXAJ00dOP6v95RWolq,sunshine pop,12.0
41bdvZfmqJYrSwpqou23yj,downtempo,1.0
4mqfOkRnUEgEQ0bOgCNjci,blues,1.0
2eOCTH59uVyJ1HtFy1m5ZV,rhythm and blues,3.0
7g4LZf70SdZaTMKVf8O4jW,power metal,11.0
4XcFqQ5VjTdsgEPyfC5cjQ,merseybeat,17.0
1TDm0l40c7LdJePJOmK1AY,disco,33.0
17a6FtOsqtpu7Hx4Kfayml,country road,1.0
4qfzRCdSQmMo5sYZZgHbzl,greek contemporary classical,1.0
16wImHxC26lpc0nn7rXPO0,metal,40.0
52RMLni6q4BngBMQ63pCbt,classic canadian rock,4.0
2cQzcAYSjDSRCyfoJChk2u,roots reggae,4.0
5CbOP9iWvnf8hKu8QKKqKo,latin classical,1.0
2VzdCd19LdnOc86hASumey,trip hop,1.0
6hbLZRpD6vMlXX6U1lAc15,trap,12.0
41r7FSwSArOxtbANKl8vwa,miami hip hop,2.0
3X78vtMxkTAQRejpK8g6e3,modern rock,13.0
3QKP1hWNtSrb7JSGcRxCVN,art punk,4.0
1KM1HvlhFqag5zJhgIThXD,detroit hip hop,53.0
5RYnXoLUW5XP70iktkEHqe,alternative rock,12.0
1TjwkGNARKpWIffvJEcVZc,nuevo tango,1.0
02V8maKq3p0asoE91KZVKj,country,2.0
5QljcBCOgqMCgq7zRO5oHl,canadian pop,11.0
7EfBLrvniZJDWLe1grPQ1C,queens hip hop,13.0
7aG5BydFObmo8z3EdwDwv6,trondheim indie,2.0
3pBF0DW9XNbRESinwb3nqg,rock nacional,49.0
0NAnwFk2NyIqLrGliUPIMu,german opera,1.0
35IlTdvUXXQnvkFY4GkzTb,jump blues,1.0
55Hs9AkdhsM8MSiF3QpWMb,italian opera,2.0
0OqXWTvKA7dBwDhyL2UIJ0,latin pop,6.0
3PqDJP4H1FdDujOIgwb7HP,reggae fusion,3.0
7CQlVTpnn8K5072qecQJFw,piano rock,28.0
1PIZTEWJTfW6QJ4IZg9qn2,argentine reggae,9.0
4EPXKiPNcsnzMrD5FmnXpD,blues latinoamericano,4.0
1qJzR5IVkk57nVKiJ2tAOl,dfw rap,2.0
4MZ7x8NwRU6FyUpDta8zdU,jazz fusion,24.0
1kf0e9PvbwVpa4m5mbZVJc,argentine indie,17.0
64GCE5AHUJK1EiLGN9Bnho,rock en espanol,79.0
2cpT7Gnc8LqaOENdhXrEwd,electric blues,3.0
5MXyzHX3Vf0Q4bheDtZ7RZ,electronic djent,2.0
48Vt3SJOdNiI557oNH7lBE,early us punk,35.0
0ra7NFo74VaC139NzUoYZU,acid rock,10.0
68tQOAK5iuRF8FXjKG09bv,swedish pop,10.0
4ADd9FBX32oiykF9dztOal,bedroom pop,1.0
0U2xM9qvv8nHteIWZKMRIt,compositional ambient,2.0
4GJonTqA0dcfNPmFeW8XZg,folk,12.0
2LN0MHOudvNImlwrfoODfP,r&b,17.0
00JBu0juvuhMxWimho7HT4,atl hip hop,20.0
1YV3TDChz8ofD51aIAxCew,alternative r&b,5.0
4br3lFEh12GRQtVm8R1Azt,baroque,5.0
3Fn5B4ExSZrG7YTOzYONqH,italian romanticism,3.0
7mT6PlEOFVWnLLAFs49Nkf,pop venezolano,13.0
4UflyVv5cfWX9DckfjtFf3,gangster rap,76.0
1MD7CMwB9pSGK0s9vxWc96,progressive electro house,1.0
5b6mWsNtzH0y1pg03o7ND4,country dawn,1.0
3lmy04BHiOqg16EjFLcCsv,german romanticism,5.0
6sy1WwR3XNA4PrWFaQ6KmX,instrumental funk,4.0
059onH05NPpg9XRAb8JOQD,cincinnati indie,1.0
05KkuPiALqABmHVIONIc9c,german metal,1.0
3YCml02Fek2h27Bbq8qBaD,urban contemporary,6.0
54HoBtc22G0vqvIeHSlQUg,trap argentino,37.0
4TY649i949XoJlWAoBKmEm,escape room,2.0
1zTxxC3V8Q1uhSkAcB1lpO,spa,1.0
7rnOoL97REjF1lIhlD4XiK,latin funk,1.0
