songName,artistName,songID,artistID,year,disc,popularity,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Potato Salad,"Tyler, The Creator",1jzIJcHCXneHw7ojC6LXiF,4V8LLVI7PbaPR0K2TGSxFF,10,Potato Salad,71,"['hip hop', 'rap']",0.538,0.612,2,-6.02,0.424,0.308,0.0,0.213,0.684,168.197
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,4X5f3vT8MRuXF68pfjNte5,13ubrt8QOOCPljQ2FL1Kca,10,LONG.LIVE.A$AP (Deluxe Version),75,"['east coast hip hop', 'hip hop', 'rap']",0.853,0.693,1,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967
Thriller,Michael Jackson,3S2R0EVwBSAVMd5UMgKTL0,3fMbdgg4jU18AjLCKBhRSm,00,Thriller 25 Super Deluxe Edition,74,"['pop', 'r&b', 'soul']",0.773,0.859,11,-4.913,0.0747,0.0855,0.000187,0.914,0.813,118.459
Runaway,AURORA,1v1oIWf2Xgh54kIWuKsDf6,1WgXqy2Dd70QQOU7Ay074N,10,All My Demons Greeting Me As A Friend (Deluxe),78,"['art pop', 'norwegian pop']",0.422,0.302,11,-9.214,0.0372,0.629,7.83e-05,0.104,0.123,114.089
Cure For Me,AURORA,7kEva2rxsNMn07fyfZMRRn,1WgXqy2Dd70QQOU7Ay074N,20,Cure For Me,72,"['art pop', 'norwegian pop']",0.722,0.764,6,-5.86,0.0554,0.0933,1.82e-05,0.088,0.416,115.917
You Are So Beautiful,Joe Cocker,1gJOqXpRjz9GeEEwQpcujK,3pFCERyEiP5xeN2EsPXhjI,70,I Can Stand A Little Rain,67,"['blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",0.297,0.182,1,-10.944,0.0298,0.846,0.00267,0.134,0.092,83.391
Michael & Quincy,Nas,5MfCvL6jCTkxPCBQf3OkYH,20qISvAhX20dpIbOOzGK3q,20,King's Disease III,68,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",0.681,0.848,1,-4.222,0.305,0.012,0.0,0.147,0.288,93.334
Portal muzsika,Portal,10Ol3zGXIaQBpdou6bl0i7,0TIFhYOYA4nLaVMaWD5DfI,20,Portal muzsika,50,[],0.779,0.946,4,-9.735,0.0413,0.878,0.95,0.773,0.992,120.033
Tank!,SEATBELTS,2Wi5ubKr8zSk8L3CLemyS4,3U3zr5PCRa9ty74uN46iBa,90,COWBOY BEBOP (Original Motion Picture Soundtrack),61,[],0.401,0.902,0,-6.814,0.154,0.0296,0.918,0.614,0.58,137.363
Murder In My Mind,Kordhell,6qyS9qBy0mEk3qYaH8mPss,2W6WP4pHQTFlbr2z9S4n54,20,Murder In My Mind,88,['drift phonk'],0.712,0.972,10,-0.514,0.112,0.00547,7.06e-05,0.128,0.568,119.966
Music For a Sushi Restaurant,Harry Styles,5LYMamLv12UPbemOaTPyeV,6KImCVD70vtIoJWnq6nGn3,20,Harry's House,83,['pop'],0.72,0.715,11,-4.652,0.04,0.258,0.0568,0.107,0.357,107.041
Miss You,southstar,4tRhRLBxIZ34Iw0eCuiC03,1GVuCyb4PlArufUZDUnRQi,20,Miss You,85,[],0.663,0.559,6,-12.876,0.0391,0.136,0.0894,0.108,0.296,145.007
Unholy (feat. Kim Petras),Sam Smith,3nqQXoyQOWXiESFLlDF1hG,2wY79sveU1sp5g7SokKOiI,20,Unholy (feat. Kim Petras),100,"['dance pop', 'pop', 'uk pop']",0.714,0.472,2,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121
Made You Look,Meghan Trainor,0QHEIqNKsMoOY5urbzN48u,6JL8zeS1NmiOftqZTRgdTz,20,Takin' It Back,92,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",0.838,0.525,10,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981
CUFF IT,Beyoncé,1xzi1Jcr7mEi9K2RfzLOqS,6vWDO969PvNqNYHIOW5v0m,20,RENAISSANCE,93,"['dance pop', 'pop', 'r&b']",0.78,0.689,7,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042
As The World Turns,Eminem,0TBzphxYIeDLP9DAJUSUbP,7dGJo4pcD2V6oG8kP0tJRR,90,The Slim Shady LP,51,"['detroit hip hop', 'hip hop', 'rap']",0.861,0.731,8,-5.814,0.243,0.00324,0.0,0.0807,0.36,95.919
Drug Ballad,Eminem,7tEoJKbYdIHBfn7tTIyjHW,7dGJo4pcD2V6oG8kP0tJRR,00,The Marshall Mathers LP,58,"['detroit hip hop', 'hip hop', 'rap']",0.913,0.7,11,-3.411,0.0589,0.0239,0.0,0.125,0.64,104.759
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,63CHa6rmamv9OsehkRD8oz,4lxfqrEsLX6N1N4OCSkILp,10,The Singles (Expanded),75,"['mellow gold', 'rock drums', 'soft rock']",0.58,0.498,1,-6.901,0.0277,0.198,0.0,0.132,0.111,116.271
"Duki: Bzrp Music Sessions, Vol. 50",Bizarrap,7MkylDYvKTSuWgrsBhHlsG,716NhGYqD1jl2wI1Qkgq36,20,"Duki: Bzrp Music Sessions, Vol. 50",87,"['argentine hip hop', 'pop venezolano', 'trap argentino']",0.535,0.874,9,-2.248,0.137,0.371,0.0,0.192,0.323,140.006
Close 2 U,Raveena,7rgvhF2a3WjRkRtx2lndyc,2kQnsbKnIiMahOetwlfcaS,20,Moonstone EP,58,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",0.758,0.337,0,-9.776,0.0494,0.71,1.94e-05,0.165,0.368,93.01
If Only,Raveena,4jyU03J2YOhRxgOHit2auK,2kQnsbKnIiMahOetwlfcaS,10,If Only,57,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",0.759,0.404,10,-11.803,0.049,0.462,0.00139,0.0841,0.581,77.977
Temptation,Raveena,0ulct3cASnhGvaGhFIuIyZ,2kQnsbKnIiMahOetwlfcaS,10,Temptation,58,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",0.734,0.541,7,-8.86,0.131,0.454,0.000851,0.132,0.501,140.044
UN PISO MÁS,YSY A,6Rsryyrp2tB4t0f8c60bGm,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,71,"['argentine hip hop', 'trap argentino', 'trap latino']",0.955,0.77,7,-7.115,0.211,0.0147,0.0,0.122,0.636,121.971
CÓMO CHILLA ELLA,YSY A,0W3TCDzYM7xFrZSaXnQvs4,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,79,"['argentine hip hop', 'trap argentino', 'trap latino']",0.933,0.699,2,-8.0,0.177,0.197,4.48e-05,0.0617,0.798,128.036
TODO PAGO,YSY A,4IDRYddYWDSt4OTKOo6P0t,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,69,"['argentine hip hop', 'trap argentino', 'trap latino']",0.581,0.675,10,-7.253,0.519,0.149,0.0,0.0469,0.56,180.125
HERIDAS AL FUEGO,YSY A,1a1yKhVDTGjAenCIwqYoD6,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,69,"['argentine hip hop', 'trap argentino', 'trap latino']",0.833,0.607,0,-8.322,0.116,0.203,3.82e-06,0.506,0.335,119.972
CUÁL?,YSY A,0mX32GS4uB6VgscfYL7QrL,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,71,"['argentine hip hop', 'trap argentino', 'trap latino']",0.854,0.492,2,-9.951,0.424,0.129,0.0,0.0859,0.61,130.167
A POR TODO,YSY A,5w8dx6u3KGawHWZAJoqyKM,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,76,"['argentine hip hop', 'trap argentino', 'trap latino']",0.796,0.567,11,-8.32,0.199,0.0732,4.2e-05,0.239,0.226,82.02
UOH OH OH,YSY A,2LhnFINENqZgFnLIlChHzw,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,72,"['argentine hip hop', 'trap argentino', 'trap latino']",0.925,0.714,1,-7.517,0.0502,0.015,0.000136,0.12,0.36,118.966
RELOJES REVENTADOS,YSY A,3WHBTuOibN5pPTiz9eyUpA,2qWK8K2Jfh67UqtwY8tCW6,20,YSYSMO,73,"['argentine hip hop', 'trap argentino', 'trap latino']",0.745,0.684,8,-5.291,0.154,0.293,0.0,0.105,0.296,146.761
Sound of da Police,KRS-One,3Y6XWs8xMlCngyIxNOFnsp,2gINJ8xw86xawPyGvx1bla,90,Return of the Boom Bap,63,"['alternative hip hop', 'bronx hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop', 'rap', 'turntablism']",0.794,0.95,1,-8.78,0.294,0.124,7.71e-05,0.133,0.324,94.984
SPLAT,Connor Price,71rw9MB77BR8LHMFZK8gKV,5zixe6AbgXPqt4c1uSl94L,20,SPLAT,72,"['pop rap', 'sad rap']",0.908,0.45,7,-7.174,0.314,0.0608,0.0,0.0663,0.515,108.056
Spinnin,Connor Price,5OzgCc3gQsqchX95k1C1Qa,5zixe6AbgXPqt4c1uSl94L,20,Spinnin,79,"['pop rap', 'sad rap']",0.765,0.572,11,-6.153,0.128,0.226,0.0,0.192,0.475,140.013
cardigan,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,06HL4z0CvFAxyc27GXpf02,20,folklore,83,['pop'],0.613,0.581,0,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033
La Argentinidad Al Palo,Bersuit Vergarabat,2TmTkwDuj6SfCVPO7Erx4F,6MxyNXnnmwQwdW2PD0gXYO,00,Bersuit,0,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']",0.388,0.935,11,-3.017,0.123,0.00033,7.89e-05,0.0779,0.609,124.005
LA SEGUNDA,Homer El Mero Mero,4At1P1Eh83zjbvle4Uirft,0Xo4VFS3v07L0GwIVkZLfg,20,LA SEGUNDA,0,['argentine hip hop'],0.775,0.56,0,-7.476,0.205,0.788,0.000132,0.0874,0.592,86.873
Mariposa tecknicolor,Fito Paez,2RognU2ViRdA6HxnpAITJl,1bZNv4q3OxYq7mmnLha7Tu,90,Circo Beat,67,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']",0.509,0.887,11,-6.647,0.0392,0.183,0.0,0.355,0.824,145.088
Future Nostalgia,Dua Lipa,3iYNJX4FTRGlfMQySjlGNr,6M2wZ9GZgrQXHCFfjv46we,20,Future Nostalgia (The Moonlight Edition),63,"['dance pop', 'pop', 'uk pop']",0.875,0.813,7,-4.502,0.0579,0.00618,0.0,0.321,0.859,114.993
Stay With Me,Sam Smith,62NVyyEBiRxGae3SeB97nl,2wY79sveU1sp5g7SokKOiI,10,In The Lonely Hour (Drowning Shadows Edition),0,"['dance pop', 'pop', 'uk pop']",0.453,0.441,0,-6.275,0.0435,0.521,0.000135,0.106,0.184,84.672
Work,Rihanna,72TFWvU3wUYdUuxejTTIzt,5pKCCKE2ajJHZ9KAiaK11H,10,ANTI (Deluxe),75,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",0.725,0.534,11,-6.238,0.0946,0.0752,0.0,0.0919,0.558,91.974
Who Hurt You?,Daniel Caesar,23c9gmiiv7RCu7twft0Mym,20wkVLutqVOYrc0kxFs7rA,10,Who Hurt You?,68,"['canadian contemporary r&b', 'pop', 'r&b']",0.649,0.493,11,-7.645,0.11,0.586,0.000167,0.0667,0.277,104.542
Bailando - Spanish Version,Enrique Iglesias,32lm3769IRfcnrQV11LO4E,7qG3b048QCHVRO5Pv1T5lw,10,SEX AND LOVE (Deluxe),68,"['latin pop', 'mexican pop']",0.723,0.777,7,-3.503,0.108,0.0426,3.68e-06,0.0451,0.961,91.017
As the World Caves In,Sarah Cothran,2xXNLutYAOELYVObYb1C1S,3kft86DbqCNr7rjq3pEj0G,20,As the World Caves In,74,['gen z singer-songwriter'],0.422,0.25,0,-6.836,0.0351,0.441,0.0,0.35,0.246,124.026
Why Don't You Come on Over,love-sadKID,0MA7jVFmvHbQGlRECTPx3v,75AKgMMrk1CG5sURNvyX9s,20,Why Don't You Come on Over,40,"['lo-fi rap', 'meme rap']",0.772,0.56,6,-7.101,0.217,0.633,0.0059,0.178,0.835,95.027
Insert A (Mental Relaxation)/Medicine,Guru,6xtJxtnu4IWDMOn824Dd7i,6xyaria4AcxjRuJZLkWvMW,90,Jazzmatazz: The New Reality,38,"['alternative hip hop', 'boston hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']",0.728,0.481,6,-13.32,0.179,0.088,2.87e-05,0.309,0.652,82.944
Figure Numatic,Nubiyan Twist,3cC4TINErPyxCWtSN9w32h,5HNkGissAKlCv88sus7rVO,10,Figure Numatic,47,"['indie jazz', 'indie soul', 'uk contemporary jazz']",0.76,0.675,5,-6.276,0.0745,0.189,0.0203,0.109,0.417,97.021
木ノ葉の午後,MUSASHI PROJECT,1jFCwPNOLl9Ry6jCnVtyEw,1HNngbrg0LENVuq56iQo0m,00,NARUTO -ナルト- オリジナルサウンドトラック Ⅱ,41,['anime score'],0.792,0.591,6,-7.567,0.0582,0.123,0.888,0.104,0.809,98.04
It Had To Be You,Frank Sinatra,0Ab4lEHfPY98aqtQrKQbUu,1Mxqyy3pSjf8kZZL4QVxS0,80,"Trilogy: Past, Present & Future",47,"['adult standards', 'easy listening', 'lounge']",0.285,0.142,10,-18.543,0.0361,0.809,8.4e-05,0.0905,0.15,138.069
Pain,De La Soul,6eLSYGoJhXsR6ZhQEtTC3o,1Z8ODXyhEBi3WynYw0Rya6,10,and the Anonymous Nobody...,51,"['alternative hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap']",0.906,0.399,10,-8.766,0.267,0.0413,0.0792,0.0899,0.823,104.508
In My Room,Khary,3RcVlasiiuUSF9cQWDtPAA,4489Zgs4RNq2ZtSh3UnOxZ,20,In My Room,41,"['indie hip hop', 'lo-fi rap', 'rhode island rap']",0.899,0.474,0,-8.284,0.224,0.167,0.0,0.255,0.914,129.964
Super Fly Funk,Jazz Spastiks,16dyAuXav2Oxrl5IABKscC,49vIrnZPb9Tcc9N30t7E3S,10,Super Fly Funk,36,"['chillhop', 'jazz boom bap', 'jazz rap']",0.773,0.764,10,-5.973,0.172,0.258,0.0142,0.12,0.849,97.025
The Hop,A Tribe Called Quest,7f1UEGMBMuXfLBP5XANfrW,09hVIj6vWgoCDtT03h8ZCa,90,"Beats, Rhymes & Life",61,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",0.927,0.517,1,-6.489,0.361,0.0679,0.0,0.174,0.616,95.525
Doin' Our Own Dang,Jungle Brothers,4fuLWKNpY01OLMT9tARnB4,2iclO3rlyF0YVNE46ctYRj,80,Done By The Forces Of Nature,52,"['alternative hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'jazz rap', 'old school hip hop', 'rap', 'turntablism']",0.835,0.447,6,-14.901,0.22,0.155,0.00876,0.108,0.839,113.082
Grown Man Sport,Pete Rock,6dRj771QZr0KOQVwaB6ykM,3BeQqzKdlARoOd6y30kCO2,90,Center of Attention,57,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'turntablism']",0.801,0.757,7,-8.01,0.316,0.478,1.32e-05,0.163,0.607,88.025
Where I'm From,Digable Planets,1962ZwEY7WNQLcmYFn3eR9,0gqIrDRL7CEPBWMmkuZPdQ,90,Reachin' (A New Refutation Of Time And Space),56,"['afrofuturism', 'alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'psychedelic hip hop']",0.876,0.42,0,-18.246,0.279,0.188,0.00186,0.0668,0.706,98.304
Murder On My Mind,YNW Melly,7eBqSVxrzQZtK2mmgRG6lC,1cNDP5yjU5vjeR8qMf4grg,10,I AM YOU,78,"['melodic rap', 'trap', 'viral rap']",0.759,0.73,0,-7.985,0.0516,0.145,3.06e-06,0.11,0.74,115.007
What’s Next,Drake,3aQem4jVGdhtg116TmJnHz,3TVXtAsR1Inumwj472S9r4,20,Scary Hours 2,75,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.781,0.594,0,-6.959,0.0485,0.0136,0.0,0.162,0.0628,129.895
One Dance,Drake,1zi7xx7UVEFkmKfv06H8x0,3TVXtAsR1Inumwj472S9r4,10,Views,85,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.792,0.625,1,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967
Mask Off,Future,0VgkVdmE4gld66l8iyGjgx,1RyvyyTE3xzB2ZywiAwp0i,10,FUTURE,82,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.833,0.434,2,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062
Knife Talk (with 21 Savage ft. Project Pat),Drake,2BcMwX1MPV6ZHP4tUT9uq6,3TVXtAsR1Inumwj472S9r4,20,Certified Lover Boy,83,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.849,0.424,5,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887
Fair Trade (with Travis Scott),Drake,40iJIUlhi6renaREYGeIDS,3TVXtAsR1Inumwj472S9r4,20,Certified Lover Boy,82,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.666,0.465,1,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937
goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,0Y5tJX1MQlPlqiwlOH1tJY,10,Birds In The Trap Sing McKnight,83,"['rap', 'slap house']",0.841,0.728,7,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049
HIGHEST IN THE ROOM,Travis Scott,3eekarcy7kvN4yt5ZFzltW,0Y5tJX1MQlPlqiwlOH1tJY,10,HIGHEST IN THE ROOM,82,"['rap', 'slap house']",0.598,0.427,7,-8.764,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469
Violet,Connor Price,3zb9k8UUuKz5tYmKJvNqQA,5zixe6AbgXPqt4c1uSl94L,20,Violet,78,"['pop rap', 'sad rap']",0.924,0.716,8,-7.158,0.0541,0.0177,1.15e-06,0.128,0.48,119.973
"Sonatina No. 2 in G Major, Op. 36: I. Allegretto - for Piano",Muzio Clementi,6nkS4lSWnOLHuC5Q9zqDv7,47e2jUYcqSQ8RL2DVmxmzn,10,Clementi: Six Sonatinas Op. 36,9,['classical era'],0.391,0.145,7,-25.012,0.0485,0.991,0.893,0.134,0.961,118.29
I Only Want To Be With You,Dusty Springfield,31A3oqQxDLdG9HRx45z62d,5zaXYwewAXedKNCff45U5l,60,Stay Awhile / I Only Want To Be With You,60,"['adult standards', 'brill building pop', 'british invasion', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'soul']",0.602,0.684,7,-8.021,0.029,0.103,0.0,0.175,0.961,133.0
Holy Diver,Dio,54yLLvpezvPO1lA3GspiZj,4CYeVo5iZbtYGBN4Isc3n6,80,Holy Diver,66,"['album rock', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock']",0.473,0.783,10,-10.671,0.0869,0.0125,0.475,0.268,0.124,91.976
Jump,Van Halen,6Fba9RZtC6vTY814JToDtP,2cnMpRsOVqtPMfq7YiFE6K,90,Best of Volume 1,61,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",0.542,0.822,0,-7.201,0.0291,0.0745,0.00947,0.0645,0.772,130.011
Sweet Home Alabama,Lynyrd Skynyrd,5LOPo4Ykl6J74fajSPdady,4MVyzYMgTwdP7Z49wAZHx0,80,Skynyrd's Innyrds: Their Greatest Hits,7,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",0.577,0.601,7,-12.139,0.0255,0.147,0.00171,0.296,0.932,97.895
Lime House Blues,Biréli Lagrène,4fIwAWlzpYOE6luvdGJ2Sd,0G3ug1mpFw0I50kvAIxNhS,00,Gipsy Project,13,"['french jazz', 'gypsy jazz', 'jazz fusion', 'jazz guitar']",0.696,0.594,7,-3.508,0.0469,0.918,0.596,0.0934,0.85,144.703
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,3DNRdudZ2SstnDCVKFdXxG,2wOqMjp9TyABvtHdOSOTUS,00,"Beethoven: Piano Sonatas, Vol.3",69,"['classical', 'classical era', 'early romantic era', 'german romanticism']",0.184,0.00527,1,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612
"Études, Op. 10: No. 4 in C-Sharp Minor ""Torrent"" - Live",Frédéric Chopin,5JNgYciqwBjuo84p2nx8jU,7y97mc3bZRFXzT2szRM4L4,20,"Chopin: Études, Op. 10: No. 4 in C Sharp Minor ""Torrent"" (Live)",44,"['classical', 'early romantic era', 'polish classical']",0.37,0.213,6,-21.262,0.0299,0.989,0.884,0.148,0.375,87.318
"Chopin: Scherzo No. 3 in C-Sharp Minor, Op. 39",Frédéric Chopin,5tA1cp06dn0J5UCRupOVjv,7y97mc3bZRFXzT2szRM4L4,20,"Chopin: 12 Études, Op. 25 & 4 Scherzi - Scherzo No. 3 in C-Sharp Minor, Op. 39",43,"['classical', 'early romantic era', 'polish classical']",0.262,0.109,1,-20.732,0.0441,0.992,0.912,0.0945,0.0778,72.983
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,2MSgFefjK0T7Iwjvr3OKqV,7y97mc3bZRFXzT2szRM4L4,00,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",66,"['classical', 'early romantic era', 'polish classical']",0.225,0.0047,1,-30.928,0.0509,0.992,0.881,0.0722,0.186,163.665
"String Quartet No. 8 in C Minor, Op. 110: 2. Allegro molto",Dmitri Shostakovich,1zwNC4HIvgQQ6nga0ygjIg,6s1pCNXcbdtQJlsnM1hRIA,10,"Shostakovich: String Quartets Nos. 1, 8 & 14",37,"['classical', 'compositional ambient', 'russian modern classical']",0.421,0.46,7,-13.568,0.0375,0.966,0.894,0.105,0.435,125.925
"Concerto for 2 Violins in D Minor, BWV 1043: I. Vivace",Johann Sebastian Bach,4iYIRlCTOUE26lYwtvXEDY,5aIqB5nVVvmFsvSdExz408,60,"Bach: ""Double"" Concerto for Two Violins in D minor; Violin Concertos Nos. 1 & 2 [Expanded Edition]",40,"['baroque', 'classical', 'early music', 'german baroque']",0.539,0.375,7,-14.299,0.0554,0.96,0.00285,0.469,0.86,93.528
"Chopin: 12 Études, Op. 25: No. 11 in A Minor ""Winter Wind""",Frédéric Chopin,0RB9Q6qDFbVR6P2hUZSkdc,7y97mc3bZRFXzT2szRM4L4,90,"Chopin: Piano Sonatas Nos. 1 - 3, Mazurkas, Op. 17 & Études",44,"['classical', 'early romantic era', 'polish classical']",0.236,0.288,0,-19.28,0.0381,0.966,0.914,0.0954,0.0703,86.123
"Waltz in A Minor, Op. Posth., B. 150",Frédéric Chopin,0aJDvIeUkceMRueD84rRDR,7y97mc3bZRFXzT2szRM4L4,10,Chopin: Waltzes,55,"['classical', 'early romantic era', 'polish classical']",0.461,0.0457,9,-28.398,0.0587,0.988,0.913,0.0619,0.122,73.86
Dies Irae,Giuseppe Verdi,3By9jCy6b4dv5XnlhvIWwx,1JOQXgYdQV2yfrhewqx96o,00,Verdi Requiem,54,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",0.272,0.346,0,-14.01,0.0317,0.926,0.931,0.0772,0.24,79.773
"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": 4. Allegro con fuoco",Antonín Dvořák,6nqHzwOdGIaX57U6VU6kMO,6n7nd5iceYpXVwcx8VPpxF,80,"Dvorák: Symphony No.9 , Op.95, B. 178 ""From the New World"" / Smetana: The Moldau",53,"['classical', 'czech classical', 'late romantic era']",0.249,0.163,4,-15.638,0.0351,0.901,0.741,0.124,0.112,136.037
"Carnival of the Animals, R. 125: The Swan",Camille Saint-Saëns,0DxTEuqiERU7W4Cfy6IeLa,436sYg6CZhNefQJogaXeK0,60,Saint-Saëns: Organ Symphony; Bacchanale; Danse Macabre; Carnaval des Animaux,60,"['classical', 'french romanticism', 'late romantic era']",0.211,0.00756,7,-33.123,0.0455,0.994,0.89,0.0734,0.0391,118.247
"Danse Macabre, Op. 40, R.171",Camille Saint-Saëns,4PRnYCH5hoxypKVcOBvx3a,436sYg6CZhNefQJogaXeK0,10,Danse Macabre,52,"['classical', 'french romanticism', 'late romantic era']",0.371,0.131,7,-23.899,0.0422,0.898,0.925,0.0847,0.0656,106.872
One More Night,Maroon 5,6cpk00i5TxCqSeqNi2HuIe,04gDigrS5kc9YWfZHwBETP,10,Overexposed Track By Track,76,['pop'],0.716,0.821,5,-3.435,0.0314,0.0558,0.0,0.0844,0.618,92.997
Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x,04gDigrS5kc9YWfZHwBETP,10,V,80,['pop'],0.279,0.742,4,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,04gDigrS5kc9YWfZHwBETP,10,V,80,['pop'],0.748,0.788,1,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076
Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A,04gDigrS5kc9YWfZHwBETP,10,Overexposed Track By Track,84,['pop'],0.743,0.752,4,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015
Warsaw Concerto,Freddy Martin And His Orchestra,7oGV6z8nj9HWhPpIiL1DDs,2gWwlovT8SaHM0VsLMECK3,60,"The Great Band Era, Vol. 6",17,[],0.298,0.212,11,-17.237,0.0326,0.991,0.826,0.214,0.102,80.497
Twilight Time,The Three Suns,35STQd1LwEyPXi2ZksuHlk,6SOQrmfK6SFNQgl1krQrNc,80,1949 - 1956,23,"['easy listening', 'exotica', 'lounge']",0.348,0.389,7,-6.403,0.0331,0.784,0.545,0.12,0.192,85.294
Poinciana,David Rose & His Orchestra,4KFU26ZVVrbKwrBnNydLoj,5ZsSQKAEppzogR04EeQ60l,10,Holiday for Strings,5,"['light music', 'lounge', ""man's orchestra""]",0.143,0.311,10,-15.178,0.0354,0.983,0.831,0.136,0.107,87.076
Auld Lang Syne,Guy Lombardo & His Royal Canadians,4Saza06xljloZwotqXdNle,5fJ4w85NxFXyWlPU9wH6BE,00,Christmas Classics,33,"['big band', 'swing']",0.24,0.245,5,-10.777,0.0327,0.979,0.788,0.0947,0.112,83.922
Intermezzo,Charlie Spivak & His Orchestra,3pkhModEmBB2CahNkTwii6,6TsDdnJujwhkuAzXkqqsUE,10,"In Disco Order, Vol. 1",22,"[""man's orchestra""]",0.132,0.0472,5,-26.284,0.0386,0.992,0.934,0.261,0.077,69.399
Moves Like Jagger,Maroon 5,1r299qCKBLgUS9XJ9m1kEx,04gDigrS5kc9YWfZHwBETP,10,Singles,68,['pop'],0.72,0.751,11,-4.484,0.0462,0.0113,0.0,0.353,0.599,128.017
Sundress,A$AP Rocky,2aPTvyE09vUCRwVvj0I8WK,13ubrt8QOOCPljQ2FL1Kca,10,Sundress,77,"['east coast hip hop', 'hip hop', 'rap']",0.721,0.707,6,-6.364,0.0595,0.181,3.68e-06,0.143,0.743,125.005
