songName,artistName,songID,artistID,year,disc,popularity,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
After Party,Don Toliver,527k23H0A4Q0UJN3vGs0Da,4Gso3d4CscCijv0lmajZWs,20,Heaven Or Hell,78,"['pop', 'rap', 'trap']",0.629,0.692,5,-8.045,0.0376,0.00981,0.331,0.603,0.453,162.948
Boombastic,Shaggy,4fxF8ljwryMZX5c9EKrLFE,5EvFsr3kj42KNv97ZEnqij,90,Boombastic,69,"['dance pop', 'pop rap', 'reggae fusion']",0.867,0.538,2,-16.183,0.361,0.242,1.75e-05,0.316,0.781,158.328
Electric Eye,Judas Priest,3kubJ2b1Rad7NXZtnZAZmO,2tRsMl4eGxwoNabM08Dm4I,80,Screaming For Vengeance,45,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock']",0.431,0.947,9,-6.011,0.0752,0.000779,0.000253,0.356,0.365,96.539
One,Metallica,64Ret7Tf2M8pDE4aqbW2tX,2ye2Wgw4gimLv2eAKyk1NB,80,...And Justice For All,0,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",0.444,0.703,7,-9.443,0.0641,0.00112,0.0761,0.127,0.419,106.228
Painkiller,Judas Priest,0L7zm6afBEtrNKo6C6Gj08,2tRsMl4eGxwoNabM08Dm4I,90,Painkiller,67,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'power metal', 'rock']",0.435,0.987,1,-4.667,0.16,0.000195,0.0847,0.268,0.101,103.16
Shout At The Devil,Mötley Crüe,6VZivrPxu9MJ5rIPIERg56,0cc6vw3VN8YlIcvr1v7tBL,80,Shout At The Devil,68,"['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",0.5,0.946,5,-5.428,0.072,0.0221,4.21e-05,0.068,0.45,94.544
The Trooper - 2015 Remaster,Iron Maiden,4OROzZUy6gOWN4UGQVaZMF,6mdiAmATAx73kdxrNrnlao,80,Piece of Mind (2015 Remaster),74,"['hard rock', 'metal', 'nwobhm', 'rock']",0.285,0.908,4,-4.601,0.0705,0.0318,0.00909,0.311,0.669,159.756
Fuel,Metallica,6FUwPb4mGlUDbx42uspXaZ,2ye2Wgw4gimLv2eAKyk1NB,90,Reload,70,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",0.49,0.951,1,-3.777,0.0477,2.02e-05,0.0027,0.0314,0.589,106.946
For Whom The Bell Tolls - Remastered,Metallica,2dXsILW8gzkosqleHAvl0v,2ye2Wgw4gimLv2eAKyk1NB,80,Ride The Lightning (Remastered),73,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",0.518,0.858,0,-6.147,0.0672,0.00563,0.00349,0.0598,0.249,117.897
Master Of Puppets,Metallica,6NwbeybX6TDtXlpXvnUOZC,2ye2Wgw4gimLv2eAKyk1NB,80,Master Of Puppets,0,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",0.538,0.872,4,-7.658,0.0361,0.000608,0.573,0.0946,0.593,105.102
The Number Of The Beast - 1998 Remastered Version,Iron Maiden,1s4Ie0cT6P73SRSfh3oyGW,6mdiAmATAx73kdxrNrnlao,80,The Number Of The Beast (1998 Remastered Edition),0,"['hard rock', 'metal', 'nwobhm', 'rock']",0.42,0.93,2,-5.583,0.0638,0.0189,0.00675,0.264,0.344,99.641
スクラッチ,稲垣次郎とソウル・メディア,4ilEwmK2i4e16pnIkWOtHM,3iIErrW9Zsp3U4UqrB71jq,70,ファンキー・スタッフ,33,['classic japanese jazz'],0.666,0.56,10,-9.281,0.0446,0.235,0.872,0.0491,0.759,152.418
ペインテッド・パラダイス,稲垣次郎とソウル・メディア,6MQrRYhg1dUdskRQSpTFYJ,3iIErrW9Zsp3U4UqrB71jq,70,ファンキー・スタッフ,43,['classic japanese jazz'],0.627,0.623,8,-11.705,0.0537,0.0472,0.88,0.0795,0.854,104.14
Do It!,Jiro Inagaki & Soul Media,0hajPtH0svPBFGWqJmHXK0,3jOtONXUVTbywgYvbsrQXz,20,"WaJazz: Japanese Jazz Spectacle Vol.I - Deep, Heavy and Beautiful Jazz from Japan 1968-1984 - The Nippon Columbia masters - Selected by Yusuke Ogawa (Universounds)",15,[],0.483,0.919,5,-7.449,0.124,0.0133,0.833,0.0662,0.519,104.905
Chiquitita,ABBA,762B4bOcXF7I2Y8UlKTyTy,0LcJLqbBmaGUft1e9Mm8HV,70,Voulez-Vous,72,"['europop', 'swedish pop']",0.5,0.554,9,-8.108,0.0354,0.734,3.72e-06,0.312,0.372,84.229
Take A Chance On Me,ABBA,6vQN2a9QSgWcm74KEZYfDL,0LcJLqbBmaGUft1e9Mm8HV,70,The Album,0,"['europop', 'swedish pop']",0.685,0.685,11,-8.103,0.0254,0.173,0.0,0.201,0.925,106.987
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,2PzCOP5Aj9SABiBgNEZ52G,0LcJLqbBmaGUft1e9Mm8HV,70,Voulez-Vous,0,"['europop', 'swedish pop']",0.747,0.492,10,-9.616,0.04,0.0163,0.00897,0.224,0.533,119.531
Dancing Queen,ABBA,1rMfDvE2C8ne8UZj847rKM,0LcJLqbBmaGUft1e9Mm8HV,10,The Essential Collection,62,"['europop', 'swedish pop']",0.508,0.825,9,-9.627,0.0451,0.175,0.00133,0.376,0.715,100.548
SOS,ABBA,5pMmWfuL0FTGshYt7HVJ8P,0LcJLqbBmaGUft1e9Mm8HV,00,ABBA Gold,68,"['europop', 'swedish pop']",0.393,0.719,5,-4.773,0.0279,0.0629,0.00432,0.219,0.497,124.353
Mamma Mia,ABBA,22NN4BS1AlqVbyKIWExgON,0LcJLqbBmaGUft1e9Mm8HV,70,Abba,0,"['europop', 'swedish pop']",0.75,0.754,2,-6.999,0.0327,0.287,0.000207,0.444,0.83,137.533
Lay All Your Love On Me,ABBA,2245x0g1ft0HC7sf79zbYN,0LcJLqbBmaGUft1e9Mm8HV,00,ABBA Gold,71,"['europop', 'swedish pop']",0.695,0.701,0,-6.435,0.0281,0.0187,0.0464,0.251,0.58,133.0
